epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0867,2.24259,4.01549,1.92488,0.2865,0.25594,0.10555,0.05044,1.90119,3.4494,1.97187,8e-05,8e-05,8e-05
2,48.8192,1.79183,2.49735,1.68685,0.6354,0.44869,0.52029,0.24581,1.8536,3.30044,1.90795,0.000167195,0.000167195,0.000167195
3,57.4118,1.77986,1.85557,1.64145,0.62697,0.75775,0.73744,0.34587,1.8843,1.95306,1.85362,0.00025142,0.00025142,0.00025142
4,63.4276,1.73519,1.652,1.61118,0.72481,0.72544,0.74238,0.34492,1.89922,1.5348,2.04077,0.000332675,0.000332675,0.000332675
5,70.4704,1.74262,1.47544,1.59308,0.70868,0.67692,0.70566,0.33972,1.82895,1.49624,1.895,0.00041096,0.00041096,0.00041096
6,76.1846,1.71738,1.38318,1.58883,0.52331,0.66469,0.65713,0.31312,1.91302,1.65223,1.99909,0.000486275,0.000486275,0.000486275
7,82.9348,1.67545,1.2847,1.57713,0.69795,0.71613,0.72407,0.35687,1.9076,1.50055,2.07161,0.00055862,0.00055862,0.00055862
8,88.2223,1.66068,1.25835,1.58926,0.70823,0.70275,0.70471,0.36613,1.88244,1.32971,2.01078,0.000627995,0.000627995,0.000627995
9,95.7984,1.62696,1.1986,1.55095,0.70205,0.6864,0.67217,0.30305,1.90567,1.45345,2.11169,0.0006944,0.0006944,0.0006944
10,100.029,1.65628,1.22414,1.53964,0.73246,0.57037,0.69435,0.3279,1.9473,1.47053,2.19283,0.000757835,0.000757835,0.000757835
11,107.894,1.60353,1.1285,1.50669,0.7873,0.61791,0.71741,0.32355,1.98457,1.34743,2.20663,0.0008183,0.0008183,0.0008183
12,114.315,1.58469,1.08869,1.46656,0.75437,0.48723,0.6356,0.26693,1.85835,1.5738,1.9936,0.0008185,0.0008185,0.0008185
13,120.99,1.60191,1.09928,1.4818,0.83824,0.59032,0.6619,0.27084,1.95258,1.49637,2.07841,0.000802,0.000802,0.000802
14,126.805,1.57431,1.06812,1.47943,0.70958,0.65848,0.66995,0.30089,1.96711,1.37903,2.13059,0.0007855,0.0007855,0.0007855
15,133.786,1.55625,1.03619,1.50057,0.76626,0.71902,0.76469,0.36088,1.83041,1.24764,2.00111,0.000769,0.000769,0.000769
16,140.19,1.51722,1.0029,1.47439,0.79751,0.74286,0.7241,0.34255,1.85142,1.27555,1.99882,0.0007525,0.0007525,0.0007525
17,145.459,1.52998,0.99066,1.46039,0.74135,0.77174,0.7729,0.38451,1.84496,1.1366,1.99303,0.000736,0.000736,0.000736
18,151.84,1.51326,0.94857,1.41408,0.76403,0.74316,0.75642,0.3788,1.88396,1.09424,2.02581,0.0007195,0.0007195,0.0007195
19,157.907,1.53338,0.94771,1.41623,0.74649,0.71244,0.70531,0.35549,1.89334,1.13157,2.02072,0.000703,0.000703,0.000703
20,164.337,1.47386,0.92027,1.40782,0.75994,0.75369,0.75558,0.37192,1.83667,1.12087,1.94341,0.0006865,0.0006865,0.0006865
21,169.442,1.42425,0.94048,1.36939,0.8296,0.73283,0.7819,0.40145,1.81068,1.07702,1.90162,0.00067,0.00067,0.00067
22,175.935,1.37114,0.86094,1.37868,0.79243,0.77762,0.78111,0.41274,1.82197,1.00385,1.93229,0.0006535,0.0006535,0.0006535
23,182.051,1.42284,0.8719,1.41354,0.80175,0.74834,0.78071,0.42816,1.80884,0.98885,1.91552,0.000637,0.000637,0.000637
